,Country,oil_consume,oil_proven,oil_production,gni_oil,ratio
0,Algeria,1.401289,166.408,8.56201763264181,27327.3945203032,0.16366340973857962
1,Argentina,2.4219410999999997,35.682517499999996,3.4123831951332195,55984.4401515114,0.7097506233925311
2,Australia,4.246110799999999,56.71512,2.4356721687730496,77227.6465702088,1.7433014403325648
3,Austria,1.3420999999999998,,,33100.9931887364,
4,Azerbaijan,0.33403,95.47999999999999,4.47484999999999,6810.90276784021,0.07464607752215174
5,Bangladesh,0.46394359999999996,,,23320.101482716596,
6,Belarus,0.7704,,,11788.3108745209,
7,Brazil,10.5346207,172.3894128,9.9242816518551,194582.398062956,1.061499569395112
8,Bulgaria,0.5416928,,,10082.7811904067,
9,Canada,10.202960899999999,390.2627041,15.5900148191845,128254.43803628,0.6544548557737488
10,Chile,1.6793878999999998,,,23847.704393294498,
11,China,37.57098,210.900316,19.04396,824719.14194851,1.9728554355291652
12,Colombia,1.072379,18.57768,3.19968647857889,38625.8157599979,0.33515127409491907
13,Czech Rep.,0.9904999999999999,,,,
14,Denmark,0.8927999999999999,11.0672994,1.4035,22227.0206816281,0.6361239757748486
15,Ecuador,0.9280151999999999,52.071613899999996,2.7414858139652596,10584.7507024238,0.3385081167564852
16,Egypt,3.2618,59.197599999999994,3.464,44724.7298970188,0.9416281755196305
17,Finland,1.0532200999999999,,,20338.181670659298,
18,France,9.21771,,,222983.58336232998,
19,Germany,11.8296,,,308691.90632392897,
20,Greece,2.143,,,32142.8287171978,
21,"Hong Kong, China",1.448717,,,32267.8438553295,
22,Hungary,0.7737999999999999,,,19194.8847763729,
23,Iceland,0.0948,,,990.3629397774598,
24,India,13.5011,79.086084,3.6134999999999997,338727.81249000196,3.736294451362945
25,Indonesia,5.7357339,51.115899999999996,4.89772124647302,87822.8582429939,1.1711025620599487
26,Iran,8.3267458,1877.1368,21.2975616755143,80993.4760048879,0.39097178948767725
27,Ireland,0.9031,,,16393.1394991231,
28,Italy,8.090399999999999,11.4400394,0.52359,197494.103817606,15.45178479344525
29,Japan,22.1798713,,,443079.887214582,
30,Kazakhstan,1.0892897,543.25392,7.20499,15234.565266778,0.1511854561907789
31,"Korea, Rep.",10.3279024,,,,
32,Kuwait,1.5274012,1384.46,13.581319061811199,14827.4109487121,0.11246339129862887
33,Lithuania,0.30637,,,6398.97339438131,
34,Malaysia,2.1800832,74.4744,3.20516422338569,37443.1400669471,0.6801783147626449
35,Mexico,9.0029224,161.9068,15.7649291935817,160622.828860153,0.5710728091100666
36,Netherlands,4.6469233999999995,,,69077.0071824713,
37,New Zealand,0.732745,,,11563.9570007798,
38,Norway,0.9752704,102.31872639999999,11.4192111730768,29114.239035057897,0.08540610951301135
39,Pakistan,1.9270584,,,42973.1310339744,
40,Peru,0.78614,15.296987199999998,0.550779719234374,23569.462895138,1.4273219810867306
41,Philippines,1.3432951,,,33133.7560125515,
42,Poland,2.4878,,,67063.2684216863,
43,Portugal,1.3722737,,,25544.2858051238,
44,Qatar,0.46351509999999996,371.93552,6.08434811207138,10361.987905149399,0.07618155494429772
45,Romania,1.059173,6.5472,0.4719,31432.546861280298,2.244486119940665
46,Russia,13.0432144,1078.2334715,48.848674898,281789.218185867,0.26701265545555314
47,Saudi Arabia,10.4205075,3601.81932,51.3480863881909,59545.364705684704,0.2029385753778844
48,Singapore,4.9939010999999995,,,25784.3941513631,
49,Slovak Republic,0.42793,,,11720.7907471937,
50,South Africa,2.6293547999999998,,,49216.9403229987,
51,Spain,7.708699999999999,,,147007.91334737898,
52,Sweden,1.4533,,,37797.1992433796,
53,Switzerland,1.2061841,,,32839.693272579396,
54,Taiwan,5.0127133,,,,
55,Thailand,3.6745495,6.28804,1.32538951270863,52734.3830494292,2.772429889301382
56,Turkey,3.2342122,,,105565.752843518,
57,Turkmenistan,0.5498284999999999,8.184,1.0300000002499998,3296.07517861952,0.5338140775403364
58,Ukraine,1.5473887,,,33529.8689223832,
59,United Arab Emirates,2.2917,1333.992,14.289024245516899,35037.954611284804,0.16038183997896205
60,United Kingdom,7.868171899999999,46.239599999999996,7.166399999999999,225116.060834,1.0979253041973656
61,United States,88.4529925,415.4744,30.4945001388402,1439090.0,2.9006211643829927
62,Uzbekistan,0.5517335999999999,8.10216,0.47809999999999997,7728.82210405334,1.1540129679983266
63,Venezuela,3.2530536,1355.5431999999998,15.4056466858789,36069.9963449932,0.21115982122203342
